"chr","start","end","strand","feature","ensembl.id","gene.name","biotype","source"
"chr4",82909972,83012926,"-","gene","ENSG00000189308.10","LIN54","protein_coding","HAVANA"
"chr4",83034446,83075818,"+","gene","ENSG00000138663.8","COPS4","protein_coding","HAVANA"
"chr4",83090047,83137075,"-","gene","ENSG00000145287.10","PLAC8","protein_coding","HAVANA"
"chr4",83233511,83247178,"-","gene","ENSG00000250057.1","RP11-576N17.5","lincRNA","HAVANA"
"chr4",83261535,83284914,"-","gene","ENSG00000173085.13","COQ2","protein_coding","HAVANA"
"chr4",83292460,83335153,"-","gene","ENSG00000173083.14","HPSE","protein_coding","HAVANA"
"chr4",83407342,83455856,"-","gene","ENSG00000163312.10","HELQ","protein_coding","HAVANA"
"chr4",83455964,83469735,"+","gene","ENSG00000163319.10","MRPS18C","protein_coding","HAVANA"
"chr4",83459516,83523348,"-","gene","ENSG00000163322.13","FAM175A","protein_coding","HAVANA"
"chr4",83535913,83605875,"+","gene","ENSG00000138678.10","GPAT3","protein_coding","HAVANA"
"chr4",83668509,83731755,"-","gene","ENSG00000249171.1","RP11-767N15.1","lincRNA","HAVANA"
"chr4",84371392,84380189,"-","gene","ENSG00000248749.1","RP11-42A4.1","lincRNA","HAVANA"
"chr4",84491986,84498450,"-","gene","ENSG00000163623.9","NKX6-1","protein_coding","HAVANA"
"chr4",84582978,84651338,"+","gene","ENSG00000163624.5","CDS1","protein_coding","HAVANA"
"chr4",84669609,84966391,"-","gene","ENSG00000163625.15","WDFY3","protein_coding","HAVANA"
"chr4",85475113,86002670,"+","gene","ENSG00000138639.17","ARHGAP24","protein_coding","HAVANA"
"chr4",86010394,86594131,"-","gene","ENSG00000109339.19","MAPK10","protein_coding","HAVANA"
"chr4",86594314,86815171,"+","gene","ENSG00000163629.12","PTPN13","protein_coding","HAVANA"
"chr4",86823467,86849263,"-","gene","ENSG00000145283.7","SLC10A6","protein_coding","HAVANA"
"chr4",86876204,86936202,"-","gene","ENSG00000163633.10","C4orf36","protein_coding","HAVANA"
"chr4",86935001,87141054,"+","gene","ENSG00000172493.20","AFF1","protein_coding","HAVANA"
"chr4",87160102,87240314,"-","gene","ENSG00000145332.13","KLHL8","protein_coding","HAVANA"
"chr4",87261930,87266822,"-","gene","ENSG00000250572.1","RP11-529H2.1","lincRNA","HAVANA"
"chr4",87303788,87322906,"-","gene","ENSG00000170509.11","HSD17B13","protein_coding","HAVANA"
"chr4",87336609,87391386,"-","gene","ENSG00000198189.10","HSD17B11","protein_coding","HAVANA"
"chr4",87422581,87459454,"+","gene","ENSG00000170502.12","NUDT9","protein_coding","HAVANA"
"chr4",87460806,87462280,"-","gene","ENSG00000272856.1","RP11-710E1.2","lincRNA","HAVANA"
"chr4",87473334,87531061,"-","gene","ENSG00000152583.12","SPARCL1","protein_coding","HAVANA"
"chr4",87608528,87616910,"+","gene","ENSG00000152591.12","DSPP","protein_coding","HAVANA"
"chr4",87650306,87664361,"+","gene","ENSG00000152592.13","DMP1","protein_coding","HAVANA"
"chr4",87799580,87812435,"+","gene","ENSG00000029559.6","IBSP","protein_coding","HAVANA"
"chr4",87821410,87846817,"+","gene","ENSG00000152595.16","MEPE","protein_coding","HAVANA"
"chr4",87975649,87983426,"+","gene","ENSG00000118785.13","SPP1","protein_coding","HAVANA"
"chr4",88007667,88077777,"+","gene","ENSG00000118762.7","PKD2","protein_coding","HAVANA"
"chr4",88090263,88231322,"-","gene","ENSG00000118777.10","ABCG2","protein_coding","HAVANA"
"chr4",88257619,88284769,"-","gene","ENSG00000163644.14","PPM1K","protein_coding","HAVANA"
"chr4",88284941,88331421,"+","gene","ENSG00000246375.2","RP11-10L7.1","lincRNA","HAVANA"
"chr4",88378738,88443111,"+","gene","ENSG00000138642.14","HERC6","protein_coding","HAVANA"
"chr4",88457116,88506163,"+","gene","ENSG00000138646.8","HERC5","protein_coding","HAVANA"
"chr4",88520984,88523502,"-","gene","ENSG00000145337.4","PYURF","protein_coding","HAVANA"
"chr4",88522029,88708542,"+","gene","ENSG00000138641.15","HERC3","protein_coding","HAVANA"
"chr4",88695914,88698235,"-","gene","ENSG00000177432.6","NAP1L5","protein_coding","HAVANA"
"chr4",88725954,89111398,"-","gene","ENSG00000138640.14","FAM13A","protein_coding","HAVANA"
"chr4",89111499,89114899,"+","gene","ENSG00000180346.3","TIGD2","protein_coding","HAVANA"
"chr4",89119283,89119871,"+","gene","ENSG00000270720.1","RP11-84C13.2","lincRNA","HAVANA"
"chr4",89236385,89308010,"-","gene","ENSG00000185477.4","GPRIN3","protein_coding","HAVANA"
"chr4",89724098,89838260,"-","gene","ENSG00000145335.15","SNCA","protein_coding","HAVANA"
"chr4",89879531,89954629,"+","gene","ENSG00000138722.9","MMRN1","protein_coding","HAVANA"
"chr4",90127534,91601913,"+","gene","ENSG00000184305.14","CCSER1","protein_coding","HAVANA"
"chr4",91887885,91904335,"+","gene","ENSG00000249052.1","RP11-354O24.1","lincRNA","HAVANA"
"chr4",92268766,92277075,"-","gene","ENSG00000249152.1","LNCPRESS2","lincRNA","HAVANA"
"chr4",92297250,92300885,"-","gene","ENSG00000248511.1","RP11-9B6.1","lincRNA","HAVANA"
"chr4",92303621,93810157,"+","gene","ENSG00000152208.12","GRID2","protein_coding","HAVANA"
"chr4",93828752,93830964,"+","gene","ENSG00000172238.4","ATOH1","protein_coding","HAVANA"
"chr4",94117791,94207556,"-","gene","ENSG00000246541.2","RP11-363G15.2","lincRNA","HAVANA"
"chr4",94207610,94291292,"+","gene","ENSG00000163104.17","SMARCAD1","protein_coding","HAVANA"
"chr4",94298534,94342876,"-","gene","ENSG00000163106.10","HPGDS","protein_coding","HAVANA"
"chr4",94451856,94668227,"+","gene","ENSG00000163110.14","PDLIM5","protein_coding","HAVANA"
"chr4",94675244,94702570,"+","gene","ENSG00000249951.1","RP11-554D13.1","lincRNA","HAVANA"
"chr4",94743799,94757533,"-","gene","ENSG00000249599.1","BMPR1B-AS1","lincRNA","HAVANA"
"chr4",94757967,95158448,"+","gene","ENSG00000138696.10","BMPR1B","protein_coding","HAVANA"
"chr4",95162503,95549128,"-","gene","ENSG00000182168.14","UNC5C","protein_coding","HAVANA"
"chr4",95840018,95841474,"+","gene","ENSG00000163114.5","PDHA2","protein_coding","HAVANA"
"chr4",96310700,96818864,"+","gene","ENSG00000248510.2","RP11-145G20.1","lincRNA","HAVANA"
"chr4",97120700,97135059,"+","gene","ENSG00000253170.1","RP11-431J17.1","lincRNA","HAVANA"
"chr4",97184092,98143240,"-","gene","ENSG00000163116.9","STPG2","protein_coding","HAVANA"
"chr4",98261383,98443861,"+","gene","ENSG00000138698.14","RAP1GDS1","protein_coding","HAVANA"
"chr4",98470366,98658629,"-","gene","ENSG00000168785.7","TSPAN5","protein_coding","HAVANA"
"chr4",98871683,98930637,"-","gene","ENSG00000151247.12","EIF4E","protein_coding","HAVANA"
"chr4",98995619,99062813,"+","gene","ENSG00000164024.11","METAP1","protein_coding","HAVANA"
"chr4",99067255,99068125,"-","gene","ENSG00000272777.1","RP11-571L19.8","lincRNA","HAVANA"
"chr4",99070977,99088801,"-","gene","ENSG00000197894.10","ADH5","protein_coding","HAVANA"
"chr4",99123656,99157792,"-","gene","ENSG00000198099.8","ADH4","protein_coding","HAVANA"
"chr4",99202637,99219537,"-","gene","ENSG00000172955.17","ADH6","protein_coding","HAVANA"
"chr4",99276366,99291028,"-","gene","ENSG00000187758.7","ADH1A","protein_coding","HAVANA"
"chr4",99304963,99321401,"-","gene","ENSG00000196616.13","ADH1B","protein_coding","HAVANA"
"chr4",99336491,99353027,"-","gene","ENSG00000248144.5","ADH1C","protein_coding","HAVANA"
"chr4",99412260,99435737,"-","gene","ENSG00000196344.11","ADH7","protein_coding","HAVANA"
"chr4",99511003,99542303,"+","gene","ENSG00000138813.9","C4orf17","protein_coding","HAVANA"
"chr4",99546708,99564032,"-","gene","ENSG00000145331.13","TRMT10A","protein_coding","HAVANA"
"chr4",99563760,99623999,"+","gene","ENSG00000138823.13","MTTP","protein_coding","HAVANA"
"chr4",99636528,99654648,"-","gene","ENSG00000248713.1","RP11-766F14.2","protein_coding","HAVANA"
"chr4",99816832,99870154,"+","gene","ENSG00000070190.12","DAPP1","protein_coding","HAVANA"
"chr4",99878335,99894490,"-","gene","ENSG00000109270.12","LAMTOR3","protein_coding","HAVANA"
"chr4",99896247,99946726,"-","gene","ENSG00000164031.16","DNAJB14","protein_coding","HAVANA"
"chr4",99948087,99950388,"-","gene","ENSG00000164032.11","H2AFZ","protein_coding","HAVANA"
"chr4",100185869,100190782,"-","gene","ENSG00000145358.6","DDIT4L","protein_coding","HAVANA"
"chr4",100395340,100880126,"-","gene","ENSG00000164035.9","EMCN","protein_coding","HAVANA"
"chr4",101023408,101348278,"-","gene","ENSG00000138814.16","PPP3CA","protein_coding","HAVANA"
"chr4",101347779,101348883,"+","gene","ENSG00000254531.1","FLJ20021","lincRNA","HAVANA"
"chr4",101411285,102074812,"+","gene","ENSG00000153064.11","BANK1","protein_coding","HAVANA"
"chr4",102251040,102385510,"-","gene","ENSG00000138821.12","SLC39A8","protein_coding","HAVANA"
"chr4",102418601,102450010,"-","gene","ENSG00000248161.5","RP11-499E18.1","lincRNA","HAVANA"
"chr4",102501328,102617302,"+","gene","ENSG00000109320.11","NFKB1","protein_coding","HAVANA"
"chr4",102631892,102760994,"-","gene","ENSG00000109323.8","MANBA","protein_coding","HAVANA"
"chr4",102794382,102868896,"-","gene","ENSG00000109332.19","UBE2D3","protein_coding","HAVANA"
"chr4",102868977,102889242,"+","gene","ENSG00000145354.9","CISD2","protein_coding","HAVANA"
"chr4",102885047,103019739,"-","gene","ENSG00000164037.16","SLC9B1","protein_coding","HAVANA"
"chr4",103019867,103085829,"-","gene","ENSG00000164038.14","SLC9B2","protein_coding","HAVANA"
"chr4",103079434,103099883,"-","gene","ENSG00000164039.14","BDH2","protein_coding","HAVANA"
"chr4",103105805,103198409,"-","gene","ENSG00000138778.11","CENPE","protein_coding","HAVANA"
"chr4",103256158,103453658,"+","gene","ENSG00000248740.5","RP11-328K4.1","lincRNA","HAVANA"
"chr4",103550926,103559127,"-","gene","ENSG00000250920.1","RP11-297P16.4","lincRNA","HAVANA"
"chr4",103586030,103719816,"-","gene","ENSG00000169836.4","TACR3","protein_coding","HAVANA"
"chr4",103961615,104036923,"+","gene","ENSG00000249614.1","RP11-703G6.1","lincRNA","HAVANA"
"chr4",104230379,104411035,"+","gene","ENSG00000251170.5","RP11-729M20.1","lincRNA","HAVANA"
"chr4",104468311,104494901,"-","gene","ENSG00000168772.10","CXXC4","protein_coding","HAVANA"
"chr4",104556959,104568877,"+","gene","ENSG00000250670.1","AC004063.1","lincRNA","HAVANA"
"chr4",104653873,104966793,"-","gene","ENSG00000248242.1","RP11-556I14.2","lincRNA","HAVANA"
"chr4",104907356,105120000,"+","gene","ENSG00000248373.5","RP11-556I14.1","lincRNA","HAVANA"
"chr4",105137279,105140619,"-","gene","ENSG00000251259.1","AC004069.2","lincRNA","HAVANA"
"chr4",105145874,105279816,"+","gene","ENSG00000168769.13","TET2","protein_coding","HAVANA"
"chr4",105369076,105474081,"-","gene","ENSG00000138777.19","PPA2","protein_coding","HAVANA"
"chr4",105552619,105707918,"+","gene","ENSG00000236699.8","ARHGEF38","protein_coding","HAVANA"
"chr4",105682626,105895986,"-","gene","ENSG00000138785.14","INTS12","protein_coding","HAVANA"
"chr4",105709108,105847728,"+","gene","ENSG00000138780.14","GSTCD","protein_coding","HAVANA"
"chr4",105894774,106004027,"+","gene","ENSG00000168743.12","NPNT","protein_coding","HAVANA"
"chr4",106041598,106321495,"-","gene","ENSG00000145348.16","TBCK","protein_coding","HAVANA"
"chr4",106315543,106349226,"+","gene","ENSG00000164022.16","AIMP1","protein_coding","HAVANA"
"chr4",106357484,106368825,"-","gene","ENSG00000250298.3","GIMD1","protein_coding","HAVANA"
"chr4",106433623,106453448,"+","gene","ENSG00000249613.1","LINC02173","lincRNA","HAVANA"
"chr4",106921801,107283806,"-","gene","ENSG00000155011.8","DKK2","protein_coding","HAVANA"
"chr4",107258699,107301870,"+","gene","ENSG00000251081.1","RP11-713M6.2","lincRNA","HAVANA"
"chr4",107590275,107720452,"-","gene","ENSG00000138801.8","PAPSS1","protein_coding","HAVANA"
"chr4",107824562,107915047,"+","gene","ENSG00000164023.14","SGMS2","protein_coding","HAVANA"
"chr4",107931368,107953457,"+","gene","ENSG00000155016.17","CYP2U1","protein_coding","HAVANA"
"chr4",107989713,108035175,"+","gene","ENSG00000138796.16","HADH","protein_coding","HAVANA"
"chr4",108047544,108168956,"-","gene","ENSG00000138795.9","LEF1","protein_coding","HAVANA"
"chr4",108538189,108620460,"-","gene","ENSG00000234492.4","RPL34-AS1","lincRNA","HAVANA"
"chr4",108620565,108630412,"+","gene","ENSG00000109475.16","RPL34","protein_coding","HAVANA"
"chr4",108650583,108667820,"+","gene","ENSG00000198856.12","OSTC","protein_coding","HAVANA"
"chr4",108742039,108763054,"-","gene","ENSG00000164089.8","ETNPPL","protein_coding","HAVANA"
"chr4",108810720,109302657,"-","gene","ENSG00000188517.14","COL25A1","protein_coding","HAVANA"
"chr4",109303034,109316135,"+","gene","ENSG00000246774.1","AC004051.2","lincRNA","HAVANA"
"chr4",109433817,109540896,"+","gene","ENSG00000138802.11","SEC24B","protein_coding","HAVANA"
"chr4",109560204,109688621,"+","gene","ENSG00000005059.15","MCUB","protein_coding","HAVANA"
"chr4",109688726,109703583,"-","gene","ENSG00000138794.9","CASP6","protein_coding","HAVANA"
"chr4",109709988,109730077,"-","gene","ENSG00000123739.10","PLA2G12A","protein_coding","HAVANA"
"chr4",109740693,109802179,"-","gene","ENSG00000205403.12","CFI","protein_coding","HAVANA"
"chr4",109815046,109815410,"-","gene","ENSG00000272795.1","RP11-602N24.3","lincRNA","HAVANA"
"chr4",109815509,109824740,"+","gene","ENSG00000109534.16","GAR1","protein_coding","HAVANA"
"chr4",109827993,109844604,"+","gene","ENSG00000180245.4","RRH","protein_coding","HAVANA"
"chr4",109848201,109872315,"+","gene","ENSG00000183423.11","LRIT3","protein_coding","HAVANA"
"chr4",109912883,110012266,"+","gene","ENSG00000138798.11","EGF","protein_coding","HAVANA"
"chr4",110045845,110199199,"-","gene","ENSG00000170522.9","ELOVL6","protein_coding","HAVANA"
"chr4",110365732,110565285,"+","gene","ENSG00000138792.9","ENPEP","protein_coding","HAVANA"
"chr4",110595512,110615458,"-","gene","ENSG00000250103.2","PANCR","lincRNA","HAVANA"
"chr4",110617422,110642123,"-","gene","ENSG00000164093.15","PITX2","protein_coding","HAVANA"
"chr4",110794402,110797344,"+","gene","ENSG00000249519.1","LINC01438","lincRNA","HAVANA"
"chr4",111640494,111648808,"+","gene","ENSG00000248656.1","RP11-255I10.2","lincRNA","HAVANA"
"chr4",111802800,111839886,"+","gene","ENSG00000250855.1","RP11-269F21.1","lincRNA","HAVANA"
"chr4",111804417,111809694,"-","gene","ENSG00000248432.1","RP11-269F21.2","lincRNA","HAVANA"
"chr4",111826880,112072698,"-","gene","ENSG00000249815.1","RP11-269F21.3","lincRNA","HAVANA"
"chr4",112145396,112195256,"+","gene","ENSG00000174749.5","C4orf32","protein_coding","HAVANA"
"chr4",112231736,112270047,"+","gene","ENSG00000138660.11","AP1AR","protein_coding","HAVANA"
"chr4",112272967,112273316,"-","gene","ENSG00000272567.1","RP11-73K9.3","lincRNA","HAVANA"
"chr4",112274541,112285903,"-","gene","ENSG00000145365.10","TIFA","protein_coding","HAVANA"
"chr4",112285508,112442606,"+","gene","ENSG00000073331.17","ALPK1","protein_coding","HAVANA"
"chr4",112513515,112516172,"-","gene","ENSG00000178403.3","NEUROG2","protein_coding","HAVANA"
"chr4",112539332,112636963,"-","gene","ENSG00000138658.15","ZGRF1","protein_coding","HAVANA"
"chr4",112636989,112657592,"+","gene","ENSG00000174720.15","LARP7","protein_coding","HAVANA"
"chr4",112693046,112706810,"-","gene","ENSG00000250046.3","RP11-148B6.2","lincRNA","HAVANA"
"chr4",112818108,113383740,"+","gene","ENSG00000145362.17","ANK2","protein_coding","HAVANA"
"chr4",113451031,113761927,"-","gene","ENSG00000145349.16","CAMK2D","protein_coding","HAVANA"
"chr4",113900283,113979727,"-","gene","ENSG00000180801.13","ARSJ","protein_coding","HAVANA"
"chr4",114598454,114678224,"+","gene","ENSG00000174607.10","UGT8","protein_coding","HAVANA"
"chr4",114827762,115113876,"-","gene","ENSG00000138653.9","NDST4","protein_coding","HAVANA"
"chr4",115922014,116297160,"-","gene","ENSG00000248173.5","RP11-659O3.1","lincRNA","HAVANA"
"chr4",116298875,116300320,"+","gene","ENSG00000270394.4","MTRNR2L13","protein_coding","HAVANA"
"chr4",116489363,116515146,"-","gene","ENSG00000250791.1","RP11-55L3.1","lincRNA","HAVANA"
"chr4",117083553,117085576,"-","gene","ENSG00000174599.5","TRAM1L1","protein_coding","HAVANA"
"chr4",117314596,117360624,"-","gene","ENSG00000224932.1","AC107399.2","lincRNA","HAVANA"
"chr4",117360639,117372852,"+","gene","ENSG00000228358.5","AC113617.1","lincRNA","HAVANA"
"chr4",117406165,117691188,"+","gene","ENSG00000236922.9","LINC01378","lincRNA","HAVANA"
"chr4",117834400,117869948,"+","gene","ENSG00000229565.1","AC108056.1","lincRNA","HAVANA"
"chr4",118034344,118258648,"+","gene","ENSG00000164100.8","NDST3","protein_coding","HAVANA"
"chr4",118278708,118279823,"+","gene","ENSG00000269893.6","SNHG8","lincRNA","HAVANA"
"chr4",118280037,118353003,"-","gene","ENSG00000164099.3","PRSS12","protein_coding","HAVANA"
"chr4",118664086,118685341,"-","gene","ENSG00000281731.2","RP11-384K6.8","lincRNA","HAVANA"
"chr4",118685367,118715433,"+","gene","ENSG00000145388.14","METTL14","protein_coding","HAVANA"
"chr4",118722822,118838683,"-","gene","ENSG00000150961.14","SEC24D","protein_coding","HAVANA"
"chr4",118850687,119061247,"+","gene","ENSG00000172403.10","SYNPO2","protein_coding","HAVANA"
"chr4",119135783,119187789,"+","gene","ENSG00000172399.5","MYOZ2","protein_coding","HAVANA"
"chr4",119212644,119295517,"+","gene","ENSG00000145390.11","USP53","protein_coding","HAVANA"
"chr4",119296418,119304445,"-","gene","ENSG00000164096.12","C4orf3","protein_coding","HAVANA"
"chr4",119317249,119322390,"-","gene","ENSG00000145384.3","FABP2","protein_coding","HAVANA"
"chr4",119410138,119410231,"+","gene","ENSG00000260091.1","RP11-33B1.4","lincRNA","HAVANA"
"chr4",119456349,119457277,"+","gene","ENSG00000250950.1","RP11-33B1.3","lincRNA","HAVANA"
"chr4",119494394,119628991,"-","gene","ENSG00000138735.15","PDE5A","protein_coding","HAVANA"
"chr4",119799088,119804515,"-","gene","ENSG00000250772.5","LINC01365","lincRNA","HAVANA"
"chr4",119939539,119964293,"+","gene","ENSG00000250392.2","RP11-700N1.1","lincRNA","HAVANA"
"chr4",120035032,120040615,"-","gene","ENSG00000253825.1","RP11-96A1.5","lincRNA","HAVANA"
"chr4",120055607,120067074,"-","gene","ENSG00000164109.13","MAD2L1","protein_coding","HAVANA"
"chr4",120639089,120650796,"+","gene","ENSG00000249409.1","RP11-501E14.1","lincRNA","HAVANA"
"chr4",120684918,120922870,"-","gene","ENSG00000138738.10","PRDM5","protein_coding","HAVANA"
"chr4",121035612,121073021,"-","gene","ENSG00000173376.13","NDNF","protein_coding","HAVANA"
"chr4",121071428,121080476,"+","gene","ENSG00000250344.1","RP11-647P12.1","lincRNA","HAVANA"
"chr4",121131407,121227466,"-","gene","ENSG00000050730.15","TNIP3","protein_coding","HAVANA"
"chr4",121329311,121381059,"-","gene","ENSG00000186867.10","QRFPR","protein_coding","HAVANA"
"chr4",121667954,121697113,"-","gene","ENSG00000164111.14","ANXA5","protein_coding","HAVANA"
"chr4",121758932,121764294,"-","gene","ENSG00000164112.12","TMEM155","protein_coding","HAVANA"
"chr4",121801316,121816443,"+","gene","ENSG00000123737.12","EXOSC9","protein_coding","HAVANA"
"chr4",121816447,121823933,"-","gene","ENSG00000145386.9","CCNA2","protein_coding","HAVANA"
"chr4",121824439,121870497,"-","gene","ENSG00000138686.9","BBS7","protein_coding","HAVANA"
"chr4",121870582,121872848,"+","gene","ENSG00000261501.1","RP11-63B13.1","lincRNA","HAVANA"
"chr4",121879026,121951754,"-","gene","ENSG00000138741.10","TRPC3","protein_coding","HAVANA"
"chr4",122152332,122362758,"+","gene","ENSG00000138688.15","KIAA1109","protein_coding","HAVANA"
"chr4",122378965,122429802,"+","gene","ENSG00000164113.10","ADAD1","protein_coding","HAVANA"
"chr4",122451469,122456725,"-","gene","ENSG00000109471.4","IL2","protein_coding","HAVANA"
"chr4",122612627,122620867,"-","gene","ENSG00000138684.7","IL21","protein_coding","HAVANA"
"chr4",122732701,122744943,"+","gene","ENSG00000181004.9","BBS12","protein_coding","HAVANA"
"chr4",122826707,122898236,"+","gene","ENSG00000138685.13","FGF2","protein_coding","HAVANA"
"chr4",122888696,122922968,"-","gene","ENSG00000170917.13","NUDT6","protein_coding","HAVANA"
"chr4",122923073,123319450,"+","gene","ENSG00000145375.7","SPATA5","protein_coding","HAVANA"
"chr4",123396794,123403760,"+","gene","ENSG00000164056.10","SPRY1","protein_coding","HAVANA"
"chr4",123490267,123522106,"+","gene","ENSG00000249125.1","RP11-381N20.2","lincRNA","HAVANA"
"chr4",123505278,123527525,"+","gene","ENSG00000251526.1","RP11-381N20.1","lincRNA","HAVANA"
"chr4",123650266,123930406,"+","gene","ENSG00000249464.5","LINC01091","lincRNA","HAVANA"
"chr4",123744922,123745673,"-","gene","ENSG00000226655.1","AC096732.2","lincRNA","HAVANA"
"chr4",124149376,124252044,"-","gene","ENSG00000249837.1","CTD-2325B11.1","lincRNA","HAVANA"
"chr4",124499941,124558434,"-","gene","ENSG00000261083.1","RP11-93I21.3","lincRNA","HAVANA"
"chr4",124664051,124712732,"-","gene","ENSG00000151458.11","ANKRD50","protein_coding","HAVANA"
"chr4",125316398,125492932,"+","gene","ENSG00000196159.11","FAT4","protein_coding","HAVANA"
"chr4",125676717,125752793,"+","gene","ENSG00000250149.1","RP11-399F2.2","lincRNA","HAVANA"
"chr4",126070707,126072004,"+","gene","ENSG00000251649.1","RP11-318I4.1","lincRNA","HAVANA"
"chr4",127043429,127077762,"-","gene","ENSG00000250945.1","RP11-810P8.1","lincRNA","HAVANA"
"chr4",127096890,127470569,"-","gene","ENSG00000248491.5","RP11-125O18.1","lincRNA","HAVANA"
"chr4",127623270,127726737,"+","gene","ENSG00000164066.12","INTU","protein_coding","HAVANA"
"chr4",127730377,127774299,"+","gene","ENSG00000151475.5","SLC25A31","protein_coding","HAVANA"
"chr4",127781820,127840197,"+","gene","ENSG00000164070.11","HSPA4L","protein_coding","HAVANA"
"chr4",127880860,127899195,"+","gene","ENSG00000142731.10","PLK4","protein_coding","HAVANA"
"chr4",127917804,127965953,"-","gene","ENSG00000164073.9","MFSD8","protein_coding","HAVANA"
"chr4",127965482,128039711,"+","gene","ENSG00000164074.14","ABHD18","protein_coding","HAVANA"
"chr4",128061267,128222931,"+","gene","ENSG00000138709.17","LARP1B","protein_coding","HAVANA"
"chr4",128269236,128288829,"-","gene","ENSG00000164040.16","PGRMC2","protein_coding","HAVANA"
"chr4",128292750,128519394,"+","gene","ENSG00000251432.6","RP11-420A23.1","lincRNA","HAVANA"
"chr4",128552589,128553416,"-","gene","ENSG00000273077.1","RP11-130C6.1","lincRNA","HAVANA"
"chr4",128567971,128570531,"-","gene","ENSG00000248187.1","RP11-184M15.1","lincRNA","HAVANA"
"chr4",128582998,128601407,"-","gene","ENSG00000248802.1","RP11-184M15.2","lincRNA","HAVANA"
"chr4",128768227,128769948,"+","gene","ENSG00000280711.1","JADRR","lincRNA","HAVANA"
"chr4",128809622,128875224,"+","gene","ENSG00000077684.15","JADE1","protein_coding","HAVANA"
"chr4",128864920,129093316,"-","gene","ENSG00000151466.11","SCLT1","protein_coding","HAVANA"
"chr4",129093607,129116640,"+","gene","ENSG00000151470.12","C4orf33","protein_coding","HAVANA"
"chr4",129299174,129305022,"-","gene","ENSG00000250193.1","RP11-419L4.1","lincRNA","HAVANA"
"chr4",129724170,129771481,"-","gene","ENSG00000246876.6","RP11-519M16.1","lincRNA","HAVANA"
"chr4",129771658,129955368,"+","gene","ENSG00000249618.5","RP11-422J15.1","lincRNA","HAVANA"
"chr4",130376228,130386371,"+","gene","ENSG00000251326.1","RP11-521E5.1","lincRNA","HAVANA"
"chr4",130881026,130885641,"-","gene","ENSG00000250503.1","RP11-401I19.1","lincRNA","HAVANA"
"chr4",131380012,131541397,"+","gene","ENSG00000250102.5","RP11-314N14.1","lincRNA","HAVANA"
"chr4",131773301,131791482,"+","gene","ENSG00000251676.1","RP11-614F17.2","lincRNA","HAVANA"
"chr4",131930030,131975952,"-","gene","ENSG00000251555.1","RP11-745L13.2","lincRNA","HAVANA"
"chr4",132004809,132124031,"-","gene","ENSG00000251598.1","RP11-789C2.1","lincRNA","HAVANA"
"chr4",132027174,132027432,"-","gene","ENSG00000249463.1","RP11-1E22.1","lincRNA","HAVANA"
"chr4",132435801,132447235,"-","gene","ENSG00000248369.1","RP11-62N21.1","lincRNA","HAVANA"
"chr4",132591088,132678503,"+","gene","ENSG00000251398.1","LINC01256","lincRNA","HAVANA"
"chr4",132836771,132981677,"-","gene","ENSG00000251488.1","RP11-404I7.2","lincRNA","HAVANA"
"chr4",132985509,132988677,"-","gene","ENSG00000249513.2","RP11-404I7.1","lincRNA","HAVANA"
"chr4",133075310,133149116,"-","gene","ENSG00000250241.5","RP11-9G1.3","lincRNA","HAVANA"
"chr4",133149314,133194700,"+","gene","ENSG00000138650.8","PCDH10","protein_coding","HAVANA"
"chr4",133871245,134010690,"-","gene","ENSG00000251388.1","RP11-427M20.1","lincRNA","HAVANA"
"chr4",134196332,134201748,"-","gene","ENSG00000254535.3","PABPC4L","protein_coding","HAVANA"
"chr4",134255172,134326640,"-","gene","ENSG00000251199.5","RP11-400D2.2","lincRNA","HAVANA"
"chr4",134423866,134457852,"+","gene","ENSG00000251291.1","RP11-400D2.3","lincRNA","HAVANA"
"chr4",134759398,134817289,"+","gene","ENSG00000249000.1","CTD-2012I17.1","lincRNA","HAVANA"
"chr4",134932888,134934131,"-","gene","ENSG00000249847.1","RP11-192C21.2","lincRNA","HAVANA"
"chr4",135067232,135097658,"+","gene","ENSG00000248434.1","RP11-553P9.2","lincRNA","HAVANA"
"chr4",135112904,135123779,"-","gene","ENSG00000248456.1","RP11-553P9.3","lincRNA","HAVANA"
"chr4",135792383,135805904,"-","gene","ENSG00000250865.1","RP11-780O17.1","lincRNA","HAVANA"
"chr4",135866982,135913680,"-","gene","ENSG00000248330.5","LINC00613","lincRNA","HAVANA"
"chr4",136097796,136099240,"-","gene","ENSG00000261166.1","RP11-775H9.3","lincRNA","HAVANA"
"chr4",136118674,136395471,"-","gene","ENSG00000251567.5","RP11-775H9.2","lincRNA","HAVANA"
"chr4",136125908,136138874,"+","gene","ENSG00000250665.1","RP11-775H9.1","lincRNA","HAVANA"
"chr4",136796721,137212799,"-","gene","ENSG00000248869.5","RP11-138I17.1","lincRNA","HAVANA"
"chr4",137193755,137198367,"+","gene","ENSG00000250341.1","RP11-785F11.1","lincRNA","HAVANA"
"chr4",137518917,137532494,"-","gene","ENSG00000189184.11","PCDH18","protein_coding","HAVANA"
"chr4",137545730,137603430,"+","gene","ENSG00000251632.1","LINC02172","lincRNA","HAVANA"
"chr4",137645264,137655174,"-","gene","ENSG00000250126.1","RP13-884E18.2","lincRNA","HAVANA"
"chr4",137690476,137734977,"-","gene","ENSG00000250777.1","RP13-884E18.4","lincRNA","HAVANA"
