"","X","Row.names","logFC","AveExpr","t","P.Value","adj.P.Val","B","M_AVG","F_AVG","deltaBeta","CHR","MAPINFO","Strand","Type","gene","feature","cgi","feat.cgi","UCSC_Islands_Name","SNP_ID","SNP_DISTANCE","t_Pvals","t_Padj","FDR","Higher_Met_In"
"81",4475,"cg18319102",0.0653224366919597,0.499223669894216,13.7875740975169,1.00603641166631e-41,1.9030904163419e-39,82.1703761471197,0.534650555922716,0.469328119230759,-0.065322436691957,12,130822256,"R","I","PIWIL1","TSS200","shore","TSS200-shore","chr12:130823502-130824083","rs190454952;rs182751582","35;15",1.51982871515863e-41,2.86349869450752e-39,5.16926942192988e-40,"Male"
"82",4890,"cg27119318",0.0564740939999686,0.249048928638312,13.3807495128986,1.77181964251358e-39,3.06672843396395e-37,77.0250444545463,0.279677015908456,0.223202921908489,-0.0564740939999669,21,40759574,"R","I","WRB","Body","shore","Body-shore","chr21:40760626-40760829","","",2.37733734072127e-39,4.12053795593651e-37,8.21295308388337e-38,"Male"
"83",4923,"cg25487775",0.0625893314354132,0.462080334876218,13.3488403455652,2.64327314871002e-39,4.54517878461396e-37,76.6271005779378,0.49602495212647,0.433435620691061,-0.0625893314354095,2,162093969,"R","I","","IGR","shore","IGR-shore","chr2:162094460-162096195","","",8.43831460054776e-39,1.42807424842053e-36,1.21684603612628e-37,"Male"
"84",5023,"cg15140721",0.0566144488757668,0.333874419830344,13.2528871425043,8.75790058625777e-39,1.47596342384644e-36,75.4354151131781,0.364578626982725,0.307964178106959,-0.0566144488757652,2,131010115,"F","II","","IGR","island","IGR-island","chr2:131009569-131010185","rs548085973","33",1.38942249064318e-38,2.3336866965213e-36,3.93492270611381e-37,"Male"
"85",5175,"cg26079664",0.0566855000848406,0.52560642434388,13.1278654944252,4.12514549815127e-38,6.74788510634107e-36,73.8939163305498,0.55634916531731,0.499663665232473,-0.0566855000848363,3,51740956,"R","I","GRM2","TSS200","island","TSS200-island","chr3:51740740-51741413","rs114774669;rs540550863","28;26",1.23164150935321e-37,1.98820149775402e-35,1.78474322279725e-36,"Male"
"86",5265,"cg19605788",0.0530885859636095,0.449755624292638,13.0461702336142,1.12791356929914e-37,1.81349435598065e-35,72.8934940773376,0.478547619502739,0.425459033539133,-0.0530885859636066,19,40729386,"R","I","CNTD2","Body","island","Body-island","chr19:40729087-40729430","","",2.32754865116651e-38,3.86792985243703e-36,4.7839432727023e-36,"Male"
"87",5450,"cg01124132",0.0680096703749989,0.496816412123809,12.8792275474333,8.66242536781651e-37,1.34549400176883e-34,70.8660978806741,0.533700689000571,0.465691018625574,-0.0680096703749968,22,32599511,"F","II","RFPL2","TSS200","opensea","TSS200-opensea","","rs574605321;rs542369262;rs117148492","0;22;29",5.56439634286766e-37,8.76025569156288e-35,3.52208454114641e-35,"Male"
"88",5590,"cg18075691",0.0559564361592645,0.549633312433624,12.7663529762546,3.39375966269487e-36,5.13934814122263e-34,69.5082625845566,0.579980653818385,0.524024217659123,-0.0559564361592626,19,58566643,"F","I","","IGR","shelf","IGR-shelf","chr19:58570393-58571779","rs578149035;rs112913479;rs563624577","0;1;37",1.61122746989565e-36,2.49076170836098e-34,1.33954299162159e-34,"Male"
"89",5730,"cg14371731",0.0608599381786835,0.196328485126664,12.6604619055544,1.21038954142645e-35,1.78817205196674e-33,68.2439665402096,0.229335185469538,0.168475247290855,-0.0608599381786823,10,81003175,"R","I","ZMIZ1","Body","island","Body-island","chr10:81002109-81003687","rs554474289;rs76109311;rs142423981;rs553892475","44;31;20;19",5.42698398640423e-34,7.48463141922918e-32,4.63379850132189e-34,"Male"
"90",5875,"cg14964336",0.0587102268841732,0.178369140172117,12.5597300722998,4.02310903633698e-35,5.79685843534823e-33,67.0498602847009,0.210209968865348,0.151499741981176,-0.0587102268841722,4,1523275,"F","II","","IGR","island","IGR-island","chr4:1521703-1523281","","",1.4604345552372e-33,1.97049958719009e-31,1.49449838503429e-33,"Male"
"91",5989,"cg03181300",0.0747395557740503,0.246425154014128,12.4777550095556,1.06266515261923e-34,1.50203789111819e-32,66.0843022444467,0.286959308254489,0.21221975248044,-0.0747395557740489,6,26195995,"R","I","","IGR","shore","IGR-shore","chr6:26197070-26197537","rs548213977;rs568325650","21;14",8.21098056073173e-34,1.12236135914941e-31,3.86165503319467e-33,"Male"
"92",6029,"cg08122386",0.0517642504584144,0.183561823185752,12.4530628560459,1.42229261105482e-34,1.99702008291252e-32,65.7945537546752,0.211635579986786,0.159871329528374,-0.0517642504584128,6,26195954,"R","II","","IGR","shore","IGR-shore","chr6:26197070-26197537","rs806791;rs572344376","51;45",1.57565077280704e-33,2.12155975687758e-31,5.13367624498769e-33,"Male"
"93",6935,"cg15074709",0.0556016588520862,0.349742764850201,11.8774595958058,1.10121955634091e-31,1.34420718456003e-29,59.1844582016589,0.379897696767964,0.324296037915881,-0.0556016588520832,13,112547653,"F","I","","IGR","island","IGR-island","chr13:112547458-112548130","rs542923340;rs561191425;rs192642837;rs183594768","8;29;33;34",7.38208781420641e-32,9.14414270229069e-30,3.37801600690448e-30,"Male"
"94",7444,"cg07286216",0.0506046988300168,0.414829072191808,11.5971469653539,2.54232909199817e-30,2.89110699885219e-28,56.0664486329818,0.442273959258893,0.391669260428878,-0.0506046988300149,7,56515846,"F","II","LOC650226","Body","island","Body-island","chr7:56515585-56515864","rs115911119;rs368021849;rs532792149;rs149003202","6;9;40;44",3.82993515542805e-30,4.34426932544341e-28,7.19853713981203e-29,"Male"
"95",7523,"cg11931211",0.0632985861013642,0.688517863503821,11.5426865575751,4.6427824790803e-30,5.22427509309915e-28,55.4684114144574,0.722847137014437,0.659548550913078,-0.0632985861013593,12,130822361,"R","I","PIWIL1","TSS200","island","TSS200-island","chr12:130822360-130822696","rs190178606","47",1.28747258071465e-30,1.4972869232646e-28,1.29895851853447e-28,"Male"
"96",7691,"cg12954512",0.0582917066748359,0.410608150112003,11.4595617148592,1.15847785075808e-29,1.275098356075e-27,54.5604825039794,0.442221999094927,0.383930292420093,-0.0582917066748342,7,158750244,"R","I","","IGR","island","IGR-island","chr7:158750223-158750498","rs142156039","3",1.06987446648594e-29,1.189171931451e-27,3.1581131269314e-28,"Male"
"97",7984,"cg27353899",0.0550240085587881,0.397436371933722,11.3237092906559,5.09823195122901e-29,5.40552430617515e-27,53.0893538610438,0.427278021736774,0.372254013177987,-0.0550240085587869,3,195488922,"F","I","MUC4","Body","island","Body-island","chr3:195488595-195489381","rs199552700;rs376198451","8;27",2.39137065469268e-29,2.6036659301896e-27,1.33183590330239e-27,"Male"
"98",8023,"cg13861644",0.0558920709637734,0.672134885043984,11.3064234398457,6.14914437188174e-29,6.48808692648442e-27,52.9033015048357,0.702447318691674,0.646555247727904,-0.0558920709637701,12,130822286,"R","II","PIWIL1","TSS1500","shore","TSS1500-shore","chr12:130822360-130822696","rs182751582;rs187038591","45;14",2.36389528218031e-29,2.57507621407427e-27,1.59643343885145e-27,"Male"
"99",8221,"cg14417784",0.0551533211965461,0.416719960692471,11.2053325344568,1.83070493138505e-28,1.8850916319558e-26,51.8203702068999,0.446631741744629,0.391478420548085,-0.055153321196544,2,131009681,"F","I","","IGR","island","IGR-island","chr2:131009569-131010185","rs188675166","0",1.69001002044565e-28,1.75322592222759e-26,4.62734270864919e-27,"Male"
"100",8680,"cg06531573",0.0546269021444235,0.256820860018751,10.9851208630176,1.91260165265539e-27,1.86527798250092e-25,49.4918333552216,0.286447143641432,0.23182024149701,-0.0546269021444221,16,857576,"F","II","PRR25","Body","island","Body-island","chr16:857341-858025","rs532233270;rs547206264","15;25",4.23618266942807e-27,4.07086622984704e-25,4.54313843385382e-26,"Male"
"101",9343,"cg19424457",0.0522702383702556,0.677834010423997,10.7127790763301,3.28766419385024e-26,2.97878984948163e-24,46.6701377804068,0.706182184056251,0.653911945685999,-0.0522702383702528,12,130822308,"R","I","PIWIL1","TSS200","shore","TSS200-shore","chr12:130823502-130824083","rs187038591;rs575702002","36;1",1.31463083973482e-26,1.22846367407532e-24,7.18915533998983e-25,"Male"
"102",10461,"cg02407415",0.0663831710415049,0.342373983434312,10.2838922731496,2.54560198282845e-24,2.05994706749822e-22,42.3577275007563,0.378376146761255,0.311992975719753,-0.0663831710415024,16,857454,"F","I","PRR25","Body","island","Body-island","chr16:857341-858025","","",4.1166928107334e-24,3.30413875814968e-22,4.90904104184844e-23,"Male"
"103",10705,"cg20088245",0.0543778709052953,0.528909556415128,10.1874305266507,6.62313417932907e-24,5.23739879952189e-22,41.4100752536928,0.558400780756909,0.504022909851618,-0.0543778709052917,8,1321375,"R","II","","IGR","island","IGR-island","chr8:1321232-1321638","rs534577832;rs139718560;rs568289943;rs536239047","42;37;36;1",3.57201199070345e-24,2.87815563145465e-22,1.24552141104258e-22,"Male"
"104",11321,"cg03749207",0.0607646854725722,0.306410524442498,9.98655155589888,4.72632232707776e-23,3.5340875852706e-21,39.4630087396999,0.339365565555646,0.278600880083075,-0.0607646854725709,16,857863,"F","I","PRR25","Body","island","Body-island","chr16:857341-858025","rs554814589","38",5.88265802113231e-23,4.40184329180852e-21,8.36060467423081e-22,"Male"
"105",11856,"cg24246628",0.0580043724968831,0.483067670078207,9.81858384847648,2.37879688402519e-22,1.69847020466907e-20,37.8624214762103,0.514525686613814,0.456521314116933,-0.0580043724968805,6,168435914,"R","I","KIF25","Body","island","Body-island","chr6:168435835-168436086","rs577665110;rs538798383","28;10",2.85427180611584e-22,2.03950935437545e-20,3.99324132494771e-21,"Male"
"106",15330,"cg12744031",0.0625070562093929,0.379358706118311,8.88617153965938,1.1888714599101e-18,6.56495130370172e-17,29.4370295710182,0.413258702328646,0.350751646119254,-0.0625070562093918,7,158751184,"F","I","","IGR","island","IGR-island","chr7:158750984-158751210","rs201339125","15",1.43970355220161e-18,7.94020568193605e-17,1.50895522765996e-17,"Male"
"107",12,"cg09516963",-0.353582995160227,0.486123161188019,-234.767837618799,0,0,3890.65077660439,0.294361415828944,0.647944410989171,0.353582995160227,12,68042445,"R","I","DYRK2","TSS200","island","TSS200-island","chr12:68042166-68043876","","",0,0,0,"Female"
"108",63,"cg23719534",-0.130843597109445,0.870477356139014,-118.801799361291,0,0,2348.11870963736,0.799515808513123,0.930359405622573,0.130843597109449,15,101099284,"R","I","","IGR","island","IGR-island","chr15:101094520-101099493","rs111450002;rs531130583;rs542261936;rs189535871;rs369894392","51;47;41;9;2",0,0,0,"Female"
"109",79,"cg05100634",-0.0605514621155102,0.0651397986515494,-103.525700216598,0,0,2064.13279476952,0.0323003968187425,0.0928518589342526,0.0605514621155102,18,45457604,"R","I","SMAD2","TSS200","island","TSS200-island","chr18:45456484-45458024","","",0,0,0,"Female"
"110",94,"cg06710937",-0.127044246719697,0.12642964500142,-91.5344589803782,0,0,1822.19638893431,0.0575286321635193,0.184572878883217,0.127044246719697,13,23489940,"F","I","","IGR","island","IGR-island","chr13:23489630-23490058","rs576808728","42",0,0,0,"Female"
"111",113,"cg09725915",-0.0596595088818838,0.0997805291135235,-85.2732452610454,0,0,1688.83335965405,0.067424868046534,0.127084376928418,0.059659508881884,2,70369583,"F","I","","IGR","island","IGR-island","chr2:70369139-70370130","","",0,0,0,"Female"
"112",119,"cg10739556",-0.0844901711558127,0.18666416222753,-83.8077640341143,0,0,1656.91110591252,0.140841871822462,0.225332042978276,0.0844901711558134,7,27192056,"R","I","","IGR","shore","IGR-shore","chr7:27190274-27191115","rs368646616","43",0,0,0,"Female"
"113",178,"cg19881928",-0.0979628150769195,0.286448553999558,-67.0604935933331,0,0,1273.59402495696,0.233319527274373,0.331282342351294,0.0979628150769209,17,62039009,"F","I","SCN4A","Body","opensea","Body-opensea","","rs559519225;rs528459480","17;22",0,0,0,"Female"
"114",183,"cg25438338",-0.0696395857091119,0.194073808506417,-66.408573820025,0,0,1258.02857528628,0.156305565450467,0.22594515115958,0.0696395857091124,14,24701525,"F","I","GMPR2","TSS1500","shore","TSS1500-shore","chr14:24701646-24701992","rs561332417;rs190461080;rs540808323","21;33;34",0,0,0,"Female"
"115",186,"cg23256579",-0.182053500373907,0.455195850848708,-65.2959673929945,0,0,1231.36503349086,0.356461190363665,0.538514690737574,0.182053500373909,12,11002403,"F","II","PRR4","TSS1500","opensea","TSS1500-opensea","","rs550916421","34",0,0,0,"Female"
"116",202,"cg23283320",-0.0780791596875619,0.120141411328656,-62.7960808365966,0,0,1171.02331273305,0.0777960606110063,0.155875220298568,0.0780791596875622,21,48055893,"F","I","PRMT2","5'UTR","island","5'UTR-island","chr21:48055199-48056060","rs112036208;rs554802989","1;5",0,0,0,"Female"
"117",212,"cg25742246",-0.0773359797147942,0.22060942716063,-61.0139238335889,0,0,1127.66678827377,0.178667131710468,0.256003111425264,0.077335979714796,1,214153460,"F","I","","IGR","island","IGR-island","chr1:214153214-214153668","","",0,0,0,"Female"
"118",243,"cg22999268",-0.0696830492330109,0.137585425166979,-55.8126550597193,0,0,999.782899347603,0.09979361015956,0.169476659392571,0.0696830492330111,13,20532672,"R","I","ZMYM2","TSS200","island","TSS200-island","chr13:20531548-20533630","rs534704946","15",0,0,0,"Female"
"119",253,"cg16374663",-0.0821941111644068,0.254794662094586,-54.4688109570587,0,0,966.485032714488,0.210217613902599,0.292411725067007,0.082194111164408,15,41805031,"F","I","LTK","Body","island","Body-island","chr15:41803443-41805531","rs201734476","37",0,0,0,"Female"
"120",259,"cg16318112",-0.0602970778203472,0.148802912428211,-53.5652536602788,0,0,944.054182005292,0.116101473045804,0.176398550866152,0.0602970778203477,1,969254,"F","I","AGRN","Body","island","Body-island","chr1:967966-970238","rs574286299;rs536515729","32;49",0,0,0,"Female"
"121",262,"cg03199192",-0.0680771297782641,0.784064824871494,-53.2899856906769,0,0,937.214893617977,0.747143962149005,0.815221091927274,0.0680771297782699,15,34491893,"R","II","C15orf29","5'UTR","opensea","5'UTR-opensea","","","",0,0,0,"Female"
"122",265,"cg07816873",-0.0627745286594237,0.305375964418417,-53.0411419181056,0,0,931.03007437247,0.271330907544656,0.334105436204082,0.0627745286594253,12,1100472,"R","I","ERC1","1stExon","island","1stExon-island","chr12:1099557-1100785","rs529579533;rs550830919;rs562562183;rs10849610;rs10849611","44;38;37;24;13",0,0,0,"Female"
"123",268,"cg27615582",-0.119015035957358,0.611139491656018,-52.9506916870999,0,0,928.78154364979,0.546593030622691,0.665608066580052,0.119015035957361,12,11002411,"F","II","PRR4","TSS1500","opensea","TSS1500-opensea","","rs550916421","26",0,0,0,"Female"
"124",282,"cg09067967",-0.0604493032094704,0.109890592165484,-50.9791982339542,0,0,879.723853638194,0.0771065950619607,0.137555898271432,0.0604493032094708,4,39529342,"R","I","UGDH","TSS200","island","TSS200-island","chr4:39528728-39529723","rs529617077","35",0,0,0,"Female"
"125",297,"cg27645294",-0.0912321646688192,0.810429833028362,-49.5998620373546,0,0,845.370662389122,0.760951098560794,0.852183263229618,0.0912321646688232,17,21795257,"F","I","","IGR","opensea","IGR-opensea","","","",0,0,0,"Female"
"126",306,"cg21784396",-0.0925679827270261,0.330057896772787,-47.898628692244,0,0,803.008787474465,0.279854696463169,0.372422679190197,0.0925679827270275,7,127991421,"R","I","PRRT4","Body","island","Body-island","chr7:127990926-127992616","","",0,0,0,"Female"
"127",329,"cg09241427",-0.0626669196246861,0.541519811592884,-45.2879581693769,0,0,738.135641412416,0.507533115264173,0.57020003488886,0.0626669196246875,11,70860363,"R","II","SHANK2","5'UTR","opensea","5'UTR-opensea","","rs115801749;rs111470549","46;26",0,0,0,"Female"
"128",337,"cg02337508",-0.051507640255549,0.217453542318728,-44.3186680635109,1.7359737565101e-316,4.36065789993911e-313,714.127577764859,0.189518955164004,0.241026595419554,0.0515076402555494,2,16082473,"R","I","MYCN","Body","island","Body-island","chr2:16079801-16083032","rs148975024;rs151113760","43;10",0,0,5.18381794162616e-313,"Female"
"129",341,"cg08251176",-0.064295297245872,0.299228439554069,-44.0880942396075,5.20780498426362e-314,1.29282307879583e-310,708.425059177388,0.264358611007415,0.328653908253289,0.0642952972458741,3,113464837,"F","I","ATP6V1A","TSS1500","island","TSS1500-island","chr3:113464437-113465159","rs181278944;rs546009020;rs1048892;rs576749841;rs185474511","19;21;22;24;44",2.42540778068635e-318,6.14719602014955e-315,1.4975139673083e-310,"Female"
"130",343,"cg10546176",-0.056018952617107,0.245668954779344,-43.8933176630125,6.42654170064528e-312,1.58606861809194e-308,703.610680636137,0.215287708299501,0.271306660916609,0.0560189526171076,5,34929404,"F","I","DNAJC21","TSS1500","island","TSS1500-island","chr5:34929401-34930441","rs577441717;rs539675485","40;45",2.38930146328827e-320,6.11056981723497e-317,1.78196525391571e-308,"Female"
"131",344,"cg13546935",-0.0883146249053982,0.257450058985954,-43.840207990927,2.38791575677257e-311,5.8762372388674e-308,702.298406232561,0.209553619269114,0.297868244174513,0.0883146249053991,2,29033780,"F","I","SPDYA","5'UTR","island","5'UTR-island","chr2:29033351-29034011","","",7.39122206178505e-321,1.90177477626973e-317,6.50510145403739e-308,"Female"
"132",350,"cg26516287",-0.0503974025005018,0.626991590640753,-43.2779767029264,2.55332434757341e-305,6.17556510480253e-302,688.41913396521,0.599659128397537,0.65005653089804,0.0503974025005033,7,12629275,"F","II","SCIN","Body","opensea","Body-opensea","","rs186951089;rs80084699","14;22",2.57436020686376e-310,6.37209100992671e-307,6.60791830070839e-302,"Female"
"133",391,"cg10047026",-0.0678222285936942,0.301402882498422,-40.5294145282151,5.05568939415896e-276,1.09456709795694e-272,620.979316836579,0.26462026255547,0.332442491149166,0.0678222285936962,17,4613992,"R","I","ARRB2","5'UTR","island","5'UTR-island","chr17:4613400-4614423","rs202083164","20",2.35073824011141e-282,5.14199996701249e-279,1.09032963575863e-272,"Female"
"134",392,"cg11092486",-0.122488355832757,0.521039678869101,-40.2553527579081,4.03177111271679e-273,8.70659943278151e-270,614.299944017118,0.454609502016254,0.577097857849013,0.12248835583276,6,5087604,"F","II","","IGR","shore","IGR-shore","chr6:5084516-5087032","rs112489053;rs539794493","12;38",7.88332633051324e-271,1.68096147488289e-267,8.57596376493749e-270,"Female"
"135",419,"cg10563109",-0.0971960882066941,0.660221401653702,-38.1767774894926,2.9384452696338e-251,5.93666230306972e-248,563.976796792157,0.60750820058999,0.704704288796685,0.097196088206695,6,5087749,"F","I","","IGR","shore","IGR-shore","chr6:5084516-5087032","rs562269695;rs114402917;rs544826987;rs545865439","1;4;6;43",7.52762557567072e-251,1.52083727570251e-247,5.77564436174933e-248,"Female"
"136",434,"cg07607752",-0.109400134898269,0.311930341439426,-37.0677195990775,1.02965359753808e-239,2.00835357684039e-236,537.40502260504,0.252598413440163,0.361998548338432,0.109400134898269,17,38024353,"R","I","ZPBP2","TSS200","island","TSS200-island","chr17:38024145-38024637","rs28661251","24",4.2959821366202e-238,8.24636663546063e-235,1.94978721120145e-236,"Female"
"137",436,"cg13346869",-0.0841961830050478,0.412168815461253,-36.9311155844986,2.67969730986964e-238,5.20281056385957e-235,534.147327934296,0.36650596621053,0.45070214921558,0.0841961830050501,8,37605517,"F","II","LOC728024","Body","opensea","Body-opensea","","rs568318654;rs374948130;rs529190781","0;25;46",1.90945431453524e-229,3.56034580331126e-226,5.01322938411973e-235,"Female"
"138",439,"cg24920126",-0.109700716892162,0.729802798303108,-36.8205758223899,3.7352120021924e-237,7.20260334790869e-234,531.513763380379,0.670307853053123,0.780008569945289,0.109700716892167,6,5087266,"F","I","PPP1R3G","3'UTR","shore","3'UTR-shore","chr6:5084516-5087032","rs544036535","41",1.1987863758818e-225,2.20130203746332e-222,6.90471725329085e-234,"Female"
"139",452,"cg09972569",-0.0575503837714721,0.251259635249244,-35.8966932961322,1.24570611915586e-227,2.3330063741287e-224,509.595787830532,0.220047834373183,0.277598218144656,0.0575503837714729,2,231712971,"F","I","","IGR","island","IGR-island","chr2:231712775-231712982","rs560943650","45",5.36377888464316e-227,9.89229235896466e-224,2.19807675875322e-224,"Female"
"140",486,"cg17292758",-0.111963796417783,0.324105776698937,-34.8777615077513,3.22755431607159e-217,5.62180856441125e-214,485.629565469409,0.26338347581913,0.375347272236915,0.111963796417785,19,49636594,"R","II","PPFIA3","Body","island","Body-island","chr19:49636224-49636694","rs552464930","32",8.13525809711832e-219,1.4347256437806e-215,5.16668225866973e-214,"Female"
"141",497,"cg04692312",-0.120823171945278,0.274730849512974,-34.164038817426,5.52486811424602e-210,9.41031776795952e-207,468.982674247773,0.209203766341039,0.330026938286318,0.12082317194528,20,29518816,"F","II","","IGR","opensea","IGR-opensea","","rs62199767;rs372757723;rs561131760;rs113970692","12;30;32;46",1.11824996103387e-217,1.96395085428272e-214,8.49396505984052e-207,"Female"
"142",498,"cg07586008",-0.0829259782872381,0.453226621397502,-34.155064157729,6.80678770508776e-210,1.15704866435221e-206,468.774126361668,0.408252653334462,0.491178631621703,0.0829259782872415,19,49636535,"F","I","PPFIA3","Body","island","Body-island","chr19:49636224-49636694","rs552464930","29",1.85767978817803e-191,2.82836091246013e-188,1.03621998163786e-206,"Female"
"143",511,"cg11574745",-0.0750507554454909,0.515037351962455,-33.7276185512506,1.37721398245499e-205,2.28149376138894e-202,458.864535763286,0.474334422093831,0.549385177539324,0.0750507554454933,6,5087031,"F","II","PPP1R3G","3'UTR","island","3'UTR-island","chr6:5084516-5087032","rs572858658;rs397654","18;47",2.49294034179914e-206,4.15419554519849e-203,1.98010215525599e-202,"Female"
"144",526,"cg23250574",-0.10315849014584,0.342897510551924,-33.1711147973199,5.18719234114156e-200,8.34805631596992e-197,446.032890785659,0.286950668113957,0.390109158259799,0.103158490145841,6,28661310,"F","I","","IGR","opensea","IGR-opensea","","rs577699382;rs183968035;rs150293316","0;41;45",4.64476529197966e-203,7.60522369296422e-200,7.12793674644053e-197,"Female"
"145",533,"cg09639931",-0.0642229656437355,0.373323307244768,-32.9774430717483,4.43748282707008e-198,7.04771346195093e-195,441.586481039822,0.338492706925887,0.402715672569624,0.0642229656437369,17,38024394,"R","I","ZPBP2","TSS200","island","TSS200-island","chr17:38024145-38024637","","",8.35776981916471e-195,1.30055962879205e-191,6.04424086334902e-195,"Female"
"146",535,"cg11703701",-0.0543536326015372,0.479846767630429,-32.8505402367728,8.14374671343671e-197,1.28857362599973e-193,438.678494418901,0.450368688659029,0.50472232126057,0.0543536326015408,16,228424,"F","II","","IGR","shore","IGR-shore","chr16:230301-231761","rs532699685;rs576618258;rs529947436","18;19;42",2.69666985790271e-193,4.17329626713232e-190,1.09960408884263e-193,"Female"
"147",547,"cg08255598",-0.0648814144140383,0.641701825649544,-32.3918818686379,2.89748444831507e-192,4.48407171415178e-189,428.205489340667,0.606514123074186,0.671395537488228,0.0648814144140418,2,74735875,"F","II","PCGF1","TSS1500","shore","TSS1500-shore","chr2:74734322-74735273","rs549159911","0",8.17607329710764e-189,1.22283287909672e-185,3.71831066252453e-189,"Female"
"148",579,"cg23743591",-0.0790375289998915,0.486146236541207,-31.5031188333048,1.60839176990845e-183,2.35153821457377e-180,408.084127017273,0.443281125047312,0.522318654047207,0.0790375289998942,14,55583319,"R","II","","IGR","opensea","IGR-opensea","","rs540326985","7",1.61162264511693e-182,2.32811542049884e-179,1.86378997946152e-180,"Female"
"149",581,"cg19590578",-0.0959974868695695,0.45721280619748,-31.4629937839441,3.96973765620805e-183,5.78394876066473e-180,407.181283719754,0.405149653036361,0.501147139905933,0.0959974868695717,5,77266117,"F","II","","IGR","shelf","IGR-shelf","chr5:77268350-77268787","rs545765212;rs562314588","23;32",2.96452775752236e-184,4.33426758355976e-181,4.56602165763462e-180,"Female"
"150",583,"cg19544707",-0.0743985977909265,0.30669706928373,-31.3876242597491,2.16370264514408e-182,3.14172222002624e-179,405.486751100023,0.266347829755988,0.340746427546917,0.0743985977909282,14,103746266,"F","II","","IGR","island","IGR-island","chr14:103745232-103746271","","",1.47217849082054e-182,2.13031273946132e-179,2.47040749509325e-179,"Female"
"151",584,"cg03405128",-0.0610229882060493,0.404854548050307,-31.3572647165967,4.28180181153586e-182,6.20658170360749e-179,404.804672712751,0.371759419365977,0.432782407572028,0.0610229882060507,4,77341841,"R","II","","IGR","shore","IGR-shore","chr4:77342010-77342707","rs571039731","27",3.44614243971577e-186,5.10006789597117e-183,4.85306293205595e-179,"Female"
"152",601,"cg20432211",-0.10577683181153,0.49647865816288,-31.0619496754763,3.22539304209229e-179,4.54304391709e-176,398.184910851897,0.439111787684448,0.54488861949598,0.105776831811532,4,77342104,"F","I","","IGR","island","IGR-island","chr4:77342010-77342707","rs116668204","41",5.79778956356018e-183,8.43292476754923e-180,3.47800403326393e-176,"Female"
"153",602,"cg07004386",-0.102625543011958,0.278617197912098,-31.024157613318,7.51442465592781e-179,1.05666666162956e-175,397.339747047985,0.222959393335048,0.325584936347007,0.102625543011959,14,70040391,"R","II","","IGR","shore","IGR-shore","chr14:70041213-70041662","rs138905072;rs113077435","34;2",5.41468243375898e-182,7.79532860182474e-179,8.0470678049873e-176,"Female"
"154",604,"cg19937979",-0.0627743671267003,0.578642357786104,-30.9697027827268,2.53988627073827e-178,3.55972209530492e-175,396.122743153938,0.544597388517791,0.607371755644494,0.062774367126703,14,70039915,"F","I","","IGR","island","IGR-island","chr14:70038108-70040302","rs540885499","1",6.5529848351997e-176,8.96163551154727e-173,2.68291469624283e-175,"Female"
"155",612,"cg19311244",-0.0667276048635254,0.580756369493241,-30.7805611748907,1.73281548787602e-176,2.39684340726025e-173,391.903016020896,0.544567406371691,0.611295011235219,0.0667276048635276,4,77341912,"R","II","","IGR","shore","IGR-shore","chr4:77342010-77342707","rs144823428;rs550469666","49;21",7.93933808036471e-176,1.084005208033e-172,1.7701850218843e-173,"Female"
"156",620,"cg25294504",-0.0803750846890682,0.688031429123813,-30.586020013371,1.3177073366539e-174,1.79914446410688e-171,387.574905561395,0.644440909403329,0.724815994092401,0.0803750846890718,20,9491559,"F","II","","IGR","shelf","IGR-shelf","chr20:9495253-9495597","rs569007165","0",7.75968791754882e-168,1.01057758385034e-164,1.31160871680092e-171,"Female"
"157",626,"cg14815891",-0.182327677941727,0.365014258826624,-30.4938996529762,1.0201927775037e-173,1.37957931404276e-170,385.529756802169,0.266130901233228,0.448458579174955,0.182327677941727,20,29611903,"R","I","FRG1B","Body","island","Body-island","chr20:29611520-29612357","rs548363498;rs568541696;rs533898528;rs547808033","51;23;21;12",1.90763796330378e-175,2.59206968155667e-172,9.9631128368063e-171,"Female"
"158",631,"cg13207534",-0.0679184380465715,0.760067378831459,-30.3531428186825,2.31466314064548e-172,3.10525449414997e-169,382.410264835822,0.723232580777974,0.791151018824548,0.0679184380465744,6,5087447,"R","II","PPP1R3G","3'UTR","shore","3'UTR-shore","chr6:5084516-5087032","rs1065500","27",6.08983705288155e-159,7.53682329169072e-156,2.24635164470718e-169,"Female"
"159",659,"cg08035323",-0.0666244872289894,0.263465602482416,-29.6124650821779,2.82471593354757e-165,3.62850835540893e-162,366.105899932218,0.227332564045726,0.293957051274717,0.0666244872289911,2,9843525,"R","II","","IGR","opensea","IGR-opensea","","rs542470314","1",1.88889777969672e-162,2.38656032113762e-159,2.56500725572748e-162,"Female"
"160",665,"cg25930673",-0.052632739853757,0.275100652931927,-29.4564072511813,8.58095476359541e-164,1.09232715328467e-160,362.694983598297,0.246555880712853,0.299188620566611,0.0526327398537579,12,123319894,"R","I","HIP1R","TSS200","island","TSS200-island","chr12:123319750-123321043","rs540174077","16",8.76561684152964e-166,1.12258642443906e-162,7.57064485103164e-161,"Female"
